title,author,,publisher, page_count,,publication_date
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,,Scholastic Inc.,652,,9/16/2006
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,,Scholastic Inc.,870,,9/1/2004
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,,Scholastic,352,,11/1/2003
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,,Scholastic Inc.,435,,5/1/2004
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,,Scholastic,2690,,9/13/2004
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,,Nimble Books,152,,4/26/2005
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,,Scholastic,3342,,9/12/2005
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,Gramercy Books,815,,11/1/2005
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,Del Rey Books,815,,4/30/2002
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,,Crown,215,,8/3/2004
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,,Random House Audio,6,,3/23/2005
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,Wings Books,815,,1/17/1996
A Short History of Nearly Everything,Bill Bryson,,Broadway Books,544,,9/14/2004
Bill Bryson's African Diary,Bill Bryson,,Broadway Books,55,,12/3/2002
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,,Broadway Books,256,,9/14/2004
In a Sunburned Country,Bill Bryson,,Broadway Books,335,,5/15/2001
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,,Broadway Books,304,,6/28/2000
The Lost Continent: Travels in Small Town America,Bill Bryson,,William Morrow Paperbacks,299,,8/28/1990
Neither Here nor There: Travels in Europe,Bill Bryson,,William Morrow Paperbacks,254,,3/28/1993
Notes from a Small Island,Bill Bryson,,William Morrow Paperbacks,324,,5/28/1997
The Mother Tongue: English and How It Got That Way,Bill Bryson,,William Morrow Paperbacks,270,,9/28/1991
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,,Ballantine Books,1728,,9/25/2012
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,,Houghton Mifflin Harcourt,1184,,10/21/2004
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,,Houghton Mifflin Harcourt,398,,9/5/2003
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,,Houghton Mifflin Harcourt,1216,,10/1/2002
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,,Houghton Mifflin Harcourt,218,,11/5/2003
The Lord of the Rings: Complete Visual Companion,Jude Fisher,,Houghton Mifflin Harcourt,224,,11/15/2004
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,,Pragmatic Bookshelf,558,,7/28/2005
Hatchet (Brian's Saga  #1),Gary Paulsen,,Atheneum Books for Young Readers: Richard Jackson Books,208,,4/1/2000
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,,Teacher Created Resources,48,,8/28/1994
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,,Delacorte Press,144,,1/23/2001
Molly Hatchet - 5 of the Best,Molly Hatchet,,Cherry Lane Music Company,56,,6/10/2003
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,,The New Press,228,,11/1/2005
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,,Changeling Press,304,,11/1/2005
